编号,组织名称,中促会,民促会,联合国,成立时间,出海时间,领导人,重要员工,资本类型,注册地,注册形式,捐赠金额（出海前）标注年份,,捐赠金额（出海后）,,官网的组织理念,组织结构（参考年报）,是否有独立的海外办公室——组织结构,官网关于海外项目的组织理念——目标,海外项目的名称,海外涉及的地区,海外服务内容,服务形式,主要成员是否有官方背景,主要信息来源,是否有网上披露,是否持续性披露,走出去程度
154,中国国际交流协会,1,0,1,9/1/1981,——,会长：吉炳轩,副会长：王亚军、刘洪才、艾平、张伯军、高友东、徐里、于丹、吕建中,——,北京市,非营利性社会组织,——,——,——,——,在中国共产党领导下，通过友好交流与对话，增进中国人民同世界各国人民之间的相互了解与合作，推动不同文明交流互鉴，维护世界和平，促进共同发展，推动构建人类命运共同体,最高权力机构是会员大会。下设理事会、各部门,否,以增进中国人民同世界各国人民的相互了解与合作，推动构建人类命运共同体为指引，通过民间交流与对话，促进不同国家和地区在政治、经济、文化等领域的交流与合作。,“丝路心相通”中匈合作驿站项目、未来非洲—中非职业教育合作计划,匈牙利、非洲等国家,提供交流平台，促进政治、经济、文化等领域交流；就共同关心的问题举办研讨会、报告会；协助国外民间机构向中国提供发展援助和扶贫项目等,直接和间接服务,是,官网、百度、BOSS直聘,是,否,海外项目
155,中国人民对外友好协会,1,0,1,1954年中国人民对外文化协会，后1969年更名,——,现任会长：杨万明，副会长：沈昕、姜江、袁敏道等,秘书长：孙学庆,——,北京市,非营利性社会组织,——,——,——,——,以增进人民友谊、推动国际合作、维护世界和平、促进共同发展为工作宗旨，代表中国人民在国际社会和世界各国广交深交朋友，奠定和扩大中国与世界各国友好关系的社会基础，致力于全人类团结进步的事业,最高权力机构是全国理事会。理事会选举产生会长、副会长、秘书长等领导成员,否,通过民间外交，促进中外人民之间的相互了解与友谊，推动不同国家和地区在各个领域的交流与合作，为国家外交大局服务，为构建人类命运共同体贡献力量。,中国丹麦地方合作论坛、孟中印缅地方政府合作论坛、中印地方政府合作论坛、中国智利友好城市论坛、“驻华使馆文化官员及外国专家中国文化行”系列项目、《汉字》国际巡展、彩虹桥工程等。,越南、印度、日本、丹麦、法国、西班牙、马达加斯加、南非、智利、美国、新西兰等,组织代表团互访，举办研讨会、洽谈会、论坛等交流活动，推动友好城市关系建立，开展文化展览、艺术交流等文化活动，促进教育、医疗等领域的合作等,直接和间接服务,是,官网、抖音、新闻,是,否,海外项目
156,中国人民争取和平与裁军协会,1,0,1,6/1/1985,——,会长：马飚，副会长：铁凝、孙尧、于洪君等,——,——,北京市,非营利性社会组织,——,——,——,——,致力于增进中国人民同世界各国人民的相互了解、友谊与合作，反对军备竞赛和战争，争取裁军、全面禁止和彻底销毁核武器及其他大规模杀伤性武器，共同维护世界和平，推动构建人类命运共同体,协会有全国理事会，由来自中国党政界、学术界、经济界等共145名理事组成。协会领导由理事会推选产生，设有会长、副会长等职务,否,通过与世界各国相关组织和团体交流合作，宣传中国和平理念，推动各国共同维护世界和平，促进国际军控与裁军进程，为构建人类命运共同体贡献力量,中美民间和平论坛、参加“禁止原子弹氢弹世界和平大会”、参加蒙塔纳论坛特别活动等,日本、美国、瑞士等,开展国际交流活动，组织双边或多边国际研讨会，就军控裁军、防扩散、和平与安全等问题进行研讨，宣传和平理念等。,直接和间接服务,是,官网、中国社会组织促进会、新闻、抖音,是,是,海外交流访问
157,中国可持续发展研究会,1,0,1,1991年,——,理事长：李萌，秘书长：周海林,朱彤,——,北京,非营利性社会团体,——,——,——,——,以普及和宣传可持续发展理念、促进可持续发展实践为基本出发点，以实现人与自然和谐为最高目标，弘扬“天人合一”文化，探索推广可持续发展模式，贯彻国家战略，为实现“中国梦”和人类可持续发展做贡献,设有会员代表大会作为最高权力机构，理事会是会员代表大会的执行机构,否,开展民间国际交流与合作，发出中国民间声音，为地方、企业引进国外资本、技术和人才等提供服务，推动中国可持续发展模式的国际分享，促进全球可持续发展进程。,举办“迈向碳中和的中国可持续发展新实践”主题边会（COP29）等,美国、欧盟国家、印度、巴西等,组织国际学术交流活动，分享中国可持续发展经验和成果，开展可持续发展领域的政策研究与咨询，推动国际合作等,直接和间接服务,是,官网、新闻、百度,是,否,海外交流访问
158,中国青年志愿者协会 ,1,0,1,1994年,2002年,会长：奇巴图，副会长：白岩松、过勇、刘剑波、杨扬等,秘书长：张朝晖,——,北京市,非营利性社会组织,——,——,——,——,弘扬“奉献、友爱、互助、进步”的志愿精神，通过组织和指导青年志愿服务活动，为社会提供志愿服务，促进社会文明进步，服务青年全面发展，推动志愿者事业发展,最高权力机构是会员代表大会，下设理事会、监事会、秘书处,否,配合国家外交战略，扩大和深化与世界各国志愿服务组织的交流与合作，传播中华文化、讲好中国故事，促进民心相通和文化交流互鉴，服务于“人类命运共同体”理念,中国青年志愿者海外服务计划援老挝项目、中国青年志愿者海外服务计划——服务联合国机构等,老挝、美国、缅甸、泰国、土耳其等“一带一路”沿线国家,开展中英文教学、体育训练、计算机培训、医疗卫生、农业科技、新闻广播，以及所在国志愿服务能力建设、青年参与可持续发展等,直接和间接服务,是,官网、百度、新闻,是,是,海外项目
159,重庆市亦格社会发展促进中心,1,0,1,2014年,2018年,理事长：张永和,副理事长兼秘书长：张祺乐，副理事长：郑若瀚,——,重庆市,民办非企业单位,——,——,——,——,致力于促进社会发展、人权保障、国际交流等相关工作,——,否,通过国际交流合作，促进人权保障、文明交流互鉴等。,2018年参加第36届人权理事会、参加第36届人权理事会、参与联合国人权理事会“发展对享有所有人权的贡献”研讨会、协办“2021·中欧人权研讨会”、2021年受邀参与联合国人权理事会第46次会议“文明交流互鉴与促进人权保障”主题边会等,瑞士、意大利、德国、荷兰、印度、日本、尼泊尔、南非、斯里兰卡等。,围绕人权保障、文明交流互鉴等，提供会议承办、课题研究、专家交流等服务，促进不同国家和地区在人权等领域的交流与理解,间接服务,否,官网、重庆市南岸区人民政府网、新闻,是,否,海外交流访问
160,北京春晖博爱公益基金会 ,1,0,1,2012年,2022年,理事长：王振耀，执行总裁：薛一心，秘书长：刘珊,联合创始人兼CEO邢戎,——,北京市,公募基金会,——,——,——,——,以“保护儿童，赋能青少年，扶助弱势群体，以人文同理之心，成就平等社会”为愿景，秉持“服务、关怀、合规、透明、创新”的核心价值观，为孤残儿童提供全人、全程、全纳的回应式教育抚育,——,否,——,参与联合国人权理事会第42届至51届会议,瑞士,在会议上介绍中国在保障困境儿童权益等方面的工作，包括响应国家乡村振兴战略、对儿童权益保障的理念与实践等，呼吁加强国际合作，共同推动儿童保护事业健康发展,间接服务,是,官网、中华儿慈会、抖音、民政部,是,否,海外交流访问
161,亚太工商联合会,1,0,1,11/1/2024,2024年,会长：麦克马林先生,——,——,亚太地区,非营利性社会组织,——,——,——,——,致力于促进跨境贸易、投资和技术交流，推动区域经济一体化、创新和可持续发展，塑造亚太地区在全球经济格局中的角色，帮助企业在全球市场中找到更多商业机会。,下设大会、执行委员会和专门工作组等,否,通过国际合作，推动亚太地区企业在全球的发展，促进区域经济与全球经济的融合,“亚太公司500强榜单”发布项目。,亚太地区的中国、日本、韩国、印度、新加坡和澳大利亚等国,展示亚太地区企业在创新、可持续发展和市场拓展方面的出色表现，为全球企业提供参考平台，推动亚太地区企业在全球舞台上的竞争力,间接服务,是（由来自各国政府部门的官员构成）,官网、新闻、APEC项目,是,否,海外交流访问
162,亚洲家庭研究所联合会有限公司（亚洲区家庭研究联盟）,1,0,1,成立时间未知，2014年活跃,——,主席：朱杨珀瑜,——,有限公司,香港,非营利性社会组织,——,——,——,——,提供跨专业协作平台，强化亚洲区内家庭功能，促进家庭健康，最终目标是为国际的人际科学领域出一分力,——,否,促进不同国家和地区家庭健康、强化家庭功能、推动家庭相关政策交流,亚洲家庭高峰会、和富3A计划等,——,——,直接和间接服务,否,新华网、世界家庭组织、新闻,是,否,海外交流访问
163,瑞丰个人发展有限公司（广州市瑞丰实业发展有限公司）,1,0,1,4/1/1993,——,法定代表人：连俊江,——,有限公司,广州市,有限责任公司,——,——,——,——,以甄选中国四大茶区、六大茶类经典名优茶种植、生产、贸易、文化为一体，致力于打造茶产业供应链综合性服务企业,——,否,——,——,——,——,——,否, 瑞丰集团、启信宝、百科、企查查,是,否,海外交流访问
